id,prior_position,prior_time,prior:smax_gaussian,prior:convolved_data,prior:estimated_data,integrand:TotalIntegrand,integrand:FlowIntegrand
59_r1,-49.18977355957031,1.0,-5.414335250854492,-5.40423059463501,-5.414259433746338,1.4520221,1.6010906
60_r1,-34.66777801513672,1.0,-5.290071964263916,-5.284742832183838,-5.289958953857422,0.8276814,1.0019542
61_r1,-121.09842681884766,1.0,-6.663845062255859,-6.656416416168213,-6.6641435623168945,2.3838823,1.913649
62_r1,7.895508766174316,1.0,-5.173794746398926,-5.181769847869873,-5.173646926879883,0.87113786,0.660076
63_r1,-20.605573654174805,1.0,-5.210759162902832,-5.210311412811279,-5.210622310638428,0.45054036,0.4365885
0_r2,-16.81452178955078,1.0,-5.196283340454102,-5.197120189666748,-5.196142673492432,1.2623773,1.4827555
1_r2,-52.25770950317383,1.0,-5.446093559265137,-5.435074806213379,-5.4460272789001465,1.4296522,1.3882499
2_r2,-23.284442901611328,1.0,-5.222756862640381,-5.221386432647705,-5.222623348236084,0.746148,1.4700571
3_r2,-101.02165222167969,1.0,-6.208798408508301,-6.193775653839111,-6.20896053314209,0.84240437,0.32892138
4_r2,-16.86778450012207,1.0,-5.196466445922852,-5.1972856521606445,-5.196325778961182,0.3208206,1.6639938
5_r2,85.7418212890625,1.0,-5.917603015899658,-5.919442653656006,-5.917677879333496,1.4029887,1.4492215
6_r2,-107.41898345947266,1.0,-6.3448662757873535,-6.331516742706299,-6.34506893157959,2.4338365,1.6028851
7_r2,-2.442044496536255,1.0,-5.168042182922363,-5.173367023468018,-5.167892932891846,-0.3120432,0.41664478
8_r2,45.601593017578125,1.0,-5.3796281814575195,-5.3908562660217285,-5.379541873931885,1.449457,1.1737082
9_r2,81.9086685180664,1.0,-5.852028846740723,-5.855273723602295,-5.852084159851074,1.3281435,1.6721247
10_r2,121.55757141113281,1.0,-6.675213813781738,-6.661074638366699,-6.675515651702881,2.0871084,0.88521236
11_r2,-87.35969543457031,1.0,-5.94618034362793,-5.929624557495117,-5.946263790130615,1.8335059,1.5014656
12_r2,118.22265625,1.0,-6.593616962432861,-6.5810651779174805,-6.5938944816589355,2.6809387,0.8369407
13_r2,22.97631072998047,1.0,-5.221302032470703,-5.231922149658203,-5.221168518066406,0.7338586,1.0124868
14_r2,117.3023681640625,1.0,-6.571499824523926,-6.559385776519775,-6.571770668029785,2.6492975,1.8105973
15_r2,-21.03023910522461,1.0,-5.212563514709473,-5.21196985244751,-5.212427139282227,0.8750726,1.1389563
16_r2,38.63181686401367,1.0,-5.319721221923828,-5.3312249183654785,-5.31961727142334,0.39046323,0.4620258
17_r2,-63.018211364746094,1.0,-5.572668075561523,-5.558857440948486,-5.572639465332031,1.6633674,1.4884305
18_r2,-141.18026733398438,1.0,-7.201297760009766,-7.209165096282959,-7.201757431030273,3.3854783,1.0436007
19_r2,6.997224807739258,1.0,-5.17242956161499,-5.180199146270752,-5.172281742095947,0.66689664,1.3660824
20_r2,-21.51151466369629,1.0,-5.2146525382995605,-5.213893890380859,-5.214517116546631,-0.8570879,1.6395493
21_r2,27.902118682861328,1.0,-5.246875286102295,-5.257991313934326,-5.246749401092529,0.7999993,0.8571498
22_r2,20.239477157592773,1.0,-5.209233283996582,-5.21949577331543,-5.2090959548950195,0.60170925,1.4024655
23_r2,18.45709991455078,1.0,-5.202195644378662,-5.212194442749023,-5.202055931091309,1.172672,1.2517827
24_r2,-3.867629051208496,1.0,-5.168960094451904,-5.17387580871582,-5.168810844421387,1.1219451,1.2300956
25_r2,112.93675994873047,1.0,-6.468935012817383,-6.458897113800049,-6.469175338745117,1.4240496,0.6516117
26_r2,82.82451629638672,1.0,-5.8674235343933105,-5.870340824127197,-5.867483615875244,2.028216,1.2896665
27_r2,39.586219787597656,1.0,-5.327338695526123,-5.338829517364502,-5.327237129211426,1.5279547,1.3276001
28_r2,-5.539639472961426,1.0,-5.170565128326416,-5.174988746643066,-5.170416355133057,1.1022253,1.2533435
29_r2,56.66931915283203,1.0,-5.495128631591797,-5.5050554275512695,-5.495077133178711,-0.8973905,1.4286352
30_r2,96.15233612060547,1.0,-6.110828876495361,-6.108448028564453,-6.110961437225342,0.7444502,0.14002682
31_r2,80.80279541015625,1.0,-5.833667755126953,-5.837301731109619,-5.833717346191406,1.499776,0.38724238
32_r2,1.3108758926391602,1.0,-5.167609214782715,-5.1739630699157715,-5.167459487915039,-0.18484613,0.017363835
33_r2,-57.88090896606445,1.0,-5.50929069519043,-5.496723175048828,-5.509243488311768,0.44170356,1.2760328
34_r2,-16.711578369140625,1.0,-5.195931434631348,-5.196802616119385,-5.1957902908325195,0.8358365,0.44819278
35_r2,92.31901550292969,1.0,-6.037107467651367,-6.036342144012451,-6.03721809387207,-0.08494866,1.5424638
36_r2,-74.60248565673828,1.0,-5.735344886779785,-5.719491004943848,-5.735365390777588,0.5267008,-0.13043961
37_r2,-66.66357421875,1.0,-5.620906352996826,-5.606329917907715,-5.620892524719238,0.95066243,0.52950484
38_r2,55.99925231933594,1.0,-5.487425327301025,-5.49746036529541,-5.487371444702148,0.96311235,1.3008078
39_r2,-39.16835403442383,1.0,-5.323980808258057,-5.317113399505615,-5.323877811431885,1.3446974,1.0694425
40_r2,-50.54156494140625,1.0,-5.428092002868652,-5.41757869720459,-5.428020000457764,1.3470687,0.9584589
41_r2,-6.904740333557129,1.0,-5.172298431396484,-5.176312446594238,-5.172150135040283,1.2201967,1.5261543
42_r2,126.54197692871094,1.0,-6.801400184631348,-6.784907817840576,-6.801739692687988,1.1918399,1.5760529
43_r2,91.90425872802734,1.0,-6.029310703277588,-6.028716087341309,-6.0294189453125,-0.20769861,0.37218386
44_r2,-5.425658702850342,1.0,-5.170437812805176,-5.174895286560059,-5.170288562774658,1.1915365,1.8795453
45_r2,21.36148452758789,1.0,-5.213996410369873,-5.224412441253662,-5.213860511779785,0.81347054,0.6175022
46_r2,-92.27696990966797,1.0,-6.036315441131592,-6.020013332366943,-6.036425590515137,0.997455,1.9066224
47_r2,-84.5448989868164,1.0,-5.896805286407471,-5.880243301391602,-5.896873950958252,1.8738266,1.0492487
48_r2,152.86737060546875,1.0,-7.551967620849609,-7.524474143981934,-7.552532196044922,3.0009696,1.4064748
49_r2,-17.908626556396484,1.0,-5.200160026550293,-5.200629234313965,-5.2000203132629395,1.237343,1.5755017
50_r2,89.36676025390625,1.0,-5.98237419128418,-5.982806205749512,-5.982468605041504,-1.0268966,1.6190681
51_r2,-25.17965316772461,1.0,-5.232129096984863,-5.230101585388184,-5.231998920440674,1.2533565,1.0427939
52_r2,-28.058908462524414,1.0,-5.2477707862854,-5.244740009307861,-5.247644901275635,-0.5380124,1.676203
53_r2,-149.34881591796875,1.0,-7.4434614181518555,-7.460067272186279,-7.443993091583252,3.3846438,1.8900174
54_r2,-42.78874206542969,1.0,-5.354258060455322,-5.346184730529785,-5.354164123535156,1.3338376,1.3179296
55_r2,-24.649723052978516,1.0,-5.229434490203857,-5.227591514587402,-5.229303359985352,0.5432343,1.426871
56_r2,-116.13121032714844,1.0,-6.54360294342041,-6.533635139465332,-6.543865203857422,1.4861828,0.78592837
57_r2,93.89861297607422,1.0,-6.067122459411621,-6.065699577331543,-6.06724214553833,2.1055393,1.3477474
58_r2,-38.30255889892578,1.0,-5.317136287689209,-5.310562610626221,-5.317031383514404,0.41878456,1.0533475
59_r2,48.86366653442383,1.0,-5.411072254180908,-5.422026634216309,-5.4109954833984375,1.5054457,1.3655208
60_r2,-57.7862548828125,1.0,-5.50817346572876,-5.495630741119385,-5.5081257820129395,1.1026139,1.0841075
61_r2,-86.16641235351562,1.0,-5.925051212310791,-5.908480644226074,-5.92512845993042,1.263293,0.76801443
62_r2,46.9480094909668,1.0,-5.392343521118164,-5.403470039367676,-5.392261028289795,1.1651058,1.4370854
63_r2,-172.53472900390625,1.0,-8.205008506774902,-8.255284309387207,-8.205768585205078,3.3481793,1.0803757
0_r3,-28.626935958862305,1.0,-5.25105619430542,-5.247827529907227,-5.250931739807129,1.2380365,1.6193255
1_r3,108.96978759765625,1.0,-6.379108905792236,-6.370940208435059,-6.379322052001953,2.5089626,1.3414935
2_r3,62.718074798583984,1.0,-5.568817138671875,-5.577592372894287,-5.568787574768066,1.1357499,1.4231192
3_r3,-55.87256622314453,1.0,-5.485979080200195,-5.473944187164307,-5.48592472076416,0.32029104,0.5336456
4_r3,10.019826889038086,1.0,-5.177678108215332,-5.186120986938477,-5.177531719207764,0.42430347,1.4535317
5_r3,-20.604873657226562,1.0,-5.210756301879883,-5.210309028625488,-5.2106194496154785,0.7039468,1.422788
6_r3,-105.2970962524414,1.0,-6.298809051513672,-6.284832000732422,-6.2989983558654785,2.4465482,1.6585277
7_r3,11.742830276489258,1.0,-5.181504726409912,-5.190304756164551,-5.181358814239502,-0.14271031,1.2669964
8_r3,7.204791069030762,1.0,-5.172730445861816,-5.180547714233398,-5.172582626342773,1.2435087,1.4514157
9_r3,122.03459167480469,1.0,-6.687070846557617,-6.672705173492432,-6.687376022338867,2.137538,1.0721442
10_r3,29.716796875,1.0,-5.257544994354248,-5.268794059753418,-5.257421970367432,0.6548236,1.4853524
11_r3,-38.967193603515625,1.0,-5.322376728057861,-5.315577507019043,-5.322273254394531,1.1916623,1.2980841
12_r3,3.553990364074707,1.0,-5.168722629547119,-5.175656795501709,-5.168573379516602,1.0787297,1.1046256
13_r3,132.23153686523438,1.0,-6.951635837554932,-6.9325151443481445,-6.952020645141602,2.4914622,1.7638783
14_r3,83.72827911376953,1.0,-5.88278341293335,-5.885372161865234,-5.882847785949707,1.8132681,0.3964433
15_r3,-5.965010166168213,1.0,-5.171064376831055,-5.175361633300781,-5.1709160804748535,0.96953267,0.9224787
16_r3,-69.7454605102539,1.0,-5.663804054260254,-5.648664474487305,-5.6638031005859375,0.70937645,0.6272792
17_r3,16.426836013793945,1.0,-5.1949687004089355,-5.204638481140137,-5.194827079772949,1.214112,1.3933265
18_r3,-67.93341064453125,1.0,-5.6383466720581055,-5.623528480529785,-5.638338088989258,1.5992022,0.9524315
19_r3,52.74625015258789,1.0,-5.451328277587891,-5.461836814880371,-5.451263427734375,0.9657744,1.0462595
20_r3,-107.37455749511719,1.0,-6.343892574310303,-6.330528736114502,-6.344095230102539,0.37160492,1.8080885
21_r3,-40.95975112915039,1.0,-5.338627815246582,-5.331159591674805,-5.338529109954834,0.62534726,0.737705
22_r3,-80.0792236328125,1.0,-5.821789264678955,-5.805410385131836,-5.821835517883301,0.9961976,1.5514
23_r3,-56.23717498779297,1.0,-5.490149974822998,-5.478016376495361,-5.4900970458984375,1.4085509,1.8727258
24_r3,0.7333816289901733,1.0,-5.1674885749816895,-5.173688888549805,-5.167338848114014,0.91146666,0.9905137
25_r3,42.34108352661133,1.0,-5.350368976593018,-5.361778736114502,-5.350274085998535,0.454558,0.29798716
26_r3,-112.15454864501953,1.0,-6.4509687423706055,-6.439292907714844,-6.451203346252441,2.3921964,1.602955
27_r3,-55.45853042602539,1.0,-5.48127555847168,-5.469353199005127,-5.48121976852417,1.5556114,1.5451653
28_r3,8.603998184204102,1.0,-5.17498779296875,-5.183122158050537,-5.174840450286865,1.0599519,1.5216961
29_r3,56.50548553466797,1.0,-5.493236541748047,-5.503190040588379,-5.493184566497803,-0.7784464,1.6556803
30_r3,-20.74692726135254,1.0,-5.211355686187744,-5.210859298706055,-5.211219310760498,0.39700797,0.76397187
31_r3,-21.75879669189453,1.0,-5.215744495391846,-5.214900970458984,-5.215609073638916,0.8181903,1.0645413
32_r3,67.39573669433594,1.0,-5.630921840667725,-5.638603210449219,-5.630911350250244,0.24306285,-0.46333793
33_r3,-37.965049743652344,1.0,-5.314509868621826,-5.308050155639648,-5.314404010772705,0.24008745,0.62539953
34_r3,-109.34490203857422,1.0,-6.387465000152588,-6.374750137329102,-6.387681007385254,2.0360544,1.5720885
35_r3,72.47029876708984,1.0,-5.703346252441406,-5.709648132324219,-5.703357219696045,-0.40045848,1.0586795
